feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
accx_mean,base,accelerometer,x,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the acceleration X axis.
accx_std,base,accelerometer,x,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the acceleration X axis.
accx_median,base,accelerometer,x,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the acceleration X axis.
accx_iqr,base,accelerometer,x,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the acceleration X axis.
accx_p95,base,accelerometer,x,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the acceleration X axis.
accx_mad,base,accelerometer,x,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the acceleration X axis.
accx_rms,base,accelerometer,x,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the acceleration X axis.
accx_diff_mean,base,accelerometer,x,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the acceleration X axis.
accx_diff_std,base,accelerometer,x,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the acceleration X axis.
accx_jerk_rms,base,accelerometer,x,temporal_derivative,dynamic,not_applicable,jerk RMS,,not_encoded_in_source_manifest,,False,False,True,True,jerk RMS of the acceleration X axis.
accx_jerk_std,base,accelerometer,x,temporal_derivative,dynamic,not_applicable,jerk standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,jerk standard deviation of the acceleration X axis.
accx_jerk_max,base,accelerometer,x,temporal_derivative,dynamic,not_applicable,jerk maximum,,not_encoded_in_source_manifest,,False,False,True,True,jerk maximum of the acceleration X axis.
accy_mean,base,accelerometer,y,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the acceleration Y axis.
