vehicle,window,representation,sensor_configuration,class,precision,recall,f1,support
Bus A,120s_hop60s,CAUSAL,A,Stationary off,0.7826108669596484,0.747804924603932,0.764812103465105,20956
Bus A,120s_hop60s,CAUSAL,A,Stationary on,0.8661626575028637,0.8482074752097636,0.8570910409865796,22287
Bus A,120s_hop60s,CAUSAL,A,Charging,0.7618048268625394,0.8496906871760576,0.8033512488144167,11962
Bus A,120s_hop60s,CAUSAL,A,Driving,0.9983888292158969,0.9987017056901106,0.9985452429444283,44674
Bus A,120s_hop60s,CAUSAL,M,Stationary off,0.7328876471762124,0.7009925558312655,0.7165853658536585,20956
Bus A,120s_hop60s,CAUSAL,M,Stationary on,0.7382468627083724,0.7074079059541437,0.7224984533602181,22287
Bus A,120s_hop60s,CAUSAL,M,Charging,0.6164594001463057,0.7044808560441398,0.6575374531835206,11962
Bus A,120s_hop60s,CAUSAL,M,Driving,0.9815215693275905,0.9844876214352868,0.9830023579897857,44674
Bus A,120s_hop60s,CAUSAL,G,Stationary off,0.7070029117110004,0.6836228287841191,0.6951163298478857,20956
Bus A,120s_hop60s,CAUSAL,G,Stationary on,0.7265402843601896,0.6878449320231526,0.7066632862378132,22287
Bus A,120s_hop60s,CAUSAL,G,Charging,0.548811330298432,0.6349272696873433,0.5887368706639278,11962
Bus A,120s_hop60s,CAUSAL,G,Driving,0.9976274145533496,0.9976944083807137,0.9976609103423577,44674
Bus A,120s_hop60s,CAUSAL,M+G,Stationary off,0.7664631377100469,0.7248043519755678,0.7450518725627253,20956
Bus A,120s_hop60s,CAUSAL,M+G,Stationary on,0.7929066449245822,0.7854354556467896,0.7891533675953476,22287
Bus A,120s_hop60s,CAUSAL,M+G,Charging,0.6700022571665036,0.7444407289750877,0.705262741060468,11962
Bus A,120s_hop60s,CAUSAL,M+G,Driving,0.9972255783774109,0.9976720239960604,0.9974487512308656,44674
Bus A,120s_hop60s,CAUSAL,A+M,Stationary off,0.7982944910121614,0.7862187440351212,0.7922106022358456,20956
Bus A,120s_hop60s,CAUSAL,A+M,Stationary on,0.8966464834653004,0.8637770897832817,0.8799049294969947,22287
Bus A,120s_hop60s,CAUSAL,A+M,Charging,0.7677957030354002,0.839491723792008,0.802044646779282,11962
Bus A,120s_hop60s,CAUSAL,A+M,Driving,0.9983665615000783,0.9987464744594171,0.9985564818441224,44674
Bus A,120s_hop60s,CAUSAL,A+G,Stationary off,0.7804865661029001,0.7332983393777438,0.7561569688768606,20956
Bus A,120s_hop60s,CAUSAL,A+G,Stationary on,0.8524648992957431,0.8526943958361377,0.8525796321220278,22287
Bus A,120s_hop60s,CAUSAL,A+G,Charging,0.7614324651726226,0.8407456946998829,0.7991259435836313,11962
Bus A,120s_hop60s,CAUSAL,A+G,Driving,0.9987468952091119,0.9990822402292161,0.9989145395745442,44674
Bus A,120s_hop60s,CAUSAL,A+M+G,Stationary off,0.8042963037668297,0.7611185340713876,0.7821119474342315,20956
Bus A,120s_hop60s,CAUSAL,A+M+G,Stationary on,0.8860063253426227,0.8673217570781173,0.8765644839470342,22287
Bus A,120s_hop60s,CAUSAL,A+M+G,Charging,0.7569582871908453,0.8571309145627821,0.8039361743835026,11962
Bus A,120s_hop60s,CAUSAL,A+M+G,Driving,0.9987244327082307,0.998992702690603,0.9988585496866607,44674
