vehicle,window,representation,sensor_configuration,class,precision,recall,f1,support
Bus B,120s_hop60s,CAUSAL,A,Stationary off,0.9145211122554068,0.8596321393998064,0.8862275449101796,1033
Bus B,120s_hop60s,CAUSAL,A,Stationary on,0.7967603138445963,0.8955903271692746,0.8432895794267345,3515
Bus B,120s_hop60s,CAUSAL,A,Charging,0.90319071791153,0.7877925363693865,0.841554054054054,3162
Bus B,120s_hop60s,CAUSAL,A,Driving,0.9845772026236483,0.9898413829976831,0.9872022751510843,5611
Bus B,120s_hop60s,CAUSAL,M,Stationary off,0.4017013232514178,0.8228460793804453,0.5398539218799618,1033
Bus B,120s_hop60s,CAUSAL,M,Stationary on,0.7251356238698011,0.7985775248933143,0.760086650419713,3515
Bus B,120s_hop60s,CAUSAL,M,Charging,0.9387397899649942,0.5088551549652119,0.6599671862182116,3162
Bus B,120s_hop60s,CAUSAL,M,Driving,0.9813167259786477,0.9828907503118873,0.9821031074703944,5611
Bus B,120s_hop60s,CAUSAL,G,Stationary off,0.5181422351233672,0.691190706679574,0.5922853587722936,1033
Bus B,120s_hop60s,CAUSAL,G,Stationary on,0.6469078179696616,0.7886201991465149,0.7107692307692308,3515
Bus B,120s_hop60s,CAUSAL,G,Charging,0.8126213592233009,0.5294117647058824,0.6411336652623516,3162
Bus B,120s_hop60s,CAUSAL,G,Driving,0.9937477670596642,0.9914453751559437,0.9925952359710947,5611
Bus B,120s_hop60s,CAUSAL,M+G,Stationary off,0.4634533898305085,0.8470474346563408,0.5991098938719617,1033
Bus B,120s_hop60s,CAUSAL,M+G,Stationary on,0.7746953590873736,0.8500711237553343,0.8106348345089528,3515
Bus B,120s_hop60s,CAUSAL,M+G,Charging,0.8918645780697322,0.558191018342821,0.6866368410815017,3162
Bus B,120s_hop60s,CAUSAL,M+G,Driving,0.993925317134179,0.9914453751559437,0.9926837972876517,5611
Bus B,120s_hop60s,CAUSAL,A+M,Stationary off,0.874875868917577,0.8528557599225557,0.8637254901960785,1033
Bus B,120s_hop60s,CAUSAL,A+M,Stationary on,0.8330745341614907,0.9157894736842105,0.8724759452500339,3515
Bus B,120s_hop60s,CAUSAL,A+M,Charging,0.9293865905848787,0.8241619228336496,0.8736171639289306,3162
Bus B,120s_hop60s,CAUSAL,A+M,Driving,0.9845908607863975,0.9907324897522723,0.9876521275650706,5611
Bus B,120s_hop60s,CAUSAL,A+G,Stationary off,0.903,0.8741529525653436,0.8883423512051156,1033
Bus B,120s_hop60s,CAUSAL,A+G,Stationary on,0.7602576335877863,0.9066856330014225,0.8270403529259115,3515
Bus B,120s_hop60s,CAUSAL,A+G,Charging,0.8990898298377523,0.7185325743200506,0.7987343997187555,3162
Bus B,120s_hop60s,CAUSAL,A+G,Driving,0.993930739021778,0.9923364819105329,0.9931329706590565,5611
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary off,0.7832167832167832,0.8673765730880929,0.8231511254019293,1033
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary on,0.789447972642892,0.9194879089615932,0.8495203049020896,3515
Bus B,120s_hop60s,CAUSAL,A+M+G,Charging,0.9258662369057212,0.7267552182163188,0.8143160878809355,3162
Bus B,120s_hop60s,CAUSAL,A+M+G,Driving,0.9935725763256561,0.9918018178577793,0.9926864074206208,5611
