vehicle,window,representation,sensor_configuration,true_class,predicted_class,count
Bus B,120s_hop60s,CAUSAL,A,Stationary off,Stationary off,888
Bus B,120s_hop60s,CAUSAL,A,Stationary off,Stationary on,114
Bus B,120s_hop60s,CAUSAL,A,Stationary off,Charging,1
Bus B,120s_hop60s,CAUSAL,A,Stationary off,Driving,30
Bus B,120s_hop60s,CAUSAL,A,Stationary on,Stationary off,44
Bus B,120s_hop60s,CAUSAL,A,Stationary on,Stationary on,3148
Bus B,120s_hop60s,CAUSAL,A,Stationary on,Charging,266
Bus B,120s_hop60s,CAUSAL,A,Stationary on,Driving,57
Bus B,120s_hop60s,CAUSAL,A,Charging,Stationary off,20
Bus B,120s_hop60s,CAUSAL,A,Charging,Stationary on,651
Bus B,120s_hop60s,CAUSAL,A,Charging,Charging,2491
Bus B,120s_hop60s,CAUSAL,A,Charging,Driving,0
Bus B,120s_hop60s,CAUSAL,A,Driving,Stationary off,19
Bus B,120s_hop60s,CAUSAL,A,Driving,Stationary on,38
Bus B,120s_hop60s,CAUSAL,A,Driving,Charging,0
Bus B,120s_hop60s,CAUSAL,A,Driving,Driving,5554
Bus B,120s_hop60s,CAUSAL,M,Stationary off,Stationary off,850
Bus B,120s_hop60s,CAUSAL,M,Stationary off,Stationary on,153
Bus B,120s_hop60s,CAUSAL,M,Stationary off,Charging,5
Bus B,120s_hop60s,CAUSAL,M,Stationary off,Driving,25
Bus B,120s_hop60s,CAUSAL,M,Stationary on,Stationary off,530
Bus B,120s_hop60s,CAUSAL,M,Stationary on,Stationary on,2807
Bus B,120s_hop60s,CAUSAL,M,Stationary on,Charging,100
Bus B,120s_hop60s,CAUSAL,M,Stationary on,Driving,78
Bus B,120s_hop60s,CAUSAL,M,Charging,Stationary off,684
Bus B,120s_hop60s,CAUSAL,M,Charging,Stationary on,867
Bus B,120s_hop60s,CAUSAL,M,Charging,Charging,1609
Bus B,120s_hop60s,CAUSAL,M,Charging,Driving,2
Bus B,120s_hop60s,CAUSAL,M,Driving,Stationary off,52
Bus B,120s_hop60s,CAUSAL,M,Driving,Stationary on,44
Bus B,120s_hop60s,CAUSAL,M,Driving,Charging,0
Bus B,120s_hop60s,CAUSAL,M,Driving,Driving,5515
