model,orientation,full_source_rows,equal_source_rows,target_rows,equal_n_runs,full_macro_f1,equal_macro_f1_p25,equal_macro_f1_p50,equal_macro_f1_p75,delta_equal_p50_minus_full_macro_f1,full_stationary_state_macro_f1,equal_stationary_state_macro_f1_p25,equal_stationary_state_macro_f1_p50,equal_stationary_state_macro_f1_p75,delta_equal_p50_minus_full_stationary_state_macro_f1,full_charging_f1,equal_charging_f1_p25,equal_charging_f1_p50,equal_charging_f1_p75,delta_equal_p50_minus_full_charging_f1,full_driving_f1,equal_driving_f1_p25,equal_driving_f1_p50,equal_driving_f1_p75,delta_equal_p50_minus_full_driving_f1
A,RECORDED,99879,13321,13321,10,0.6821262298498278,0.660314141481543,0.6820161265680238,0.6907395058715625,-0.0001101032818040526,0.5884373637316155,0.5590903371455533,0.5893373316497915,0.6024379661388831,0.0008999679181760367,0.7161236424394319,0.7225983725448726,0.7316362451067695,0.7436858076897775,0.01551260266733756,0.9631928282044652,0.9594663339661464,0.9611484917345712,0.9620318322738234,-0.0020443364698939925
A,YAW90_LEFT,99879,13321,13321,10,0.6679344262032103,0.6542264545390725,0.6655472036136783,0.6887261080305751,-0.0023872225895320565,0.5753363822296862,0.5605477684657656,0.575559187100995,0.6079257995547379,0.00022280487130876825,0.7407732864674869,0.737114638674428,0.7670198055822932,0.7761957684798995,0.026246519114806355,0.9457285581237829,0.9312834202438618,0.9360154410287815,0.9419945117479858,-0.009713117095001333
M,RECORDED,99879,13321,13321,10,0.39432917427821734,0.37906287838670827,0.3890265224204663,0.3962907912105477,-0.005302651857751028,0.20273803691877804,0.184789133237269,0.1967060039540514,0.20747115980413414,-0.006032032964726625,0.008034433285509325,0.008870789007092199,0.03821573398215734,0.0725808750530009,0.030181300696648018,0.9691025863565353,0.9623385882818382,0.964088083838218,0.9659273600090338,-0.005014502518317365
M,YAW90_LEFT,99879,13321,13321,10,0.5081621419981209,0.4575104929225754,0.46608894669793954,0.48377905629298207,-0.04207319530018139,0.36077461189241,0.2906298525505875,0.30877031079590234,0.32609803196516896,-0.052004301096507666,0.17916102841677944,0.09568490166323601,0.13776729576861818,0.18077170582647836,-0.04139373264816126,0.9503247323152536,0.952092395303764,0.9552031065143483,0.957796470409601,0.004878374199094648
G,RECORDED,99879,13321,13321,10,0.4961414255453509,0.48750327187761716,0.4903330899476417,0.493003023376778,-0.005808335597709213,0.3311073188829601,0.32027926613176116,0.32392274728067794,0.327803762629876,-0.0071845716022821415,0.21503928170594838,0.19629504829755143,0.2045942194437841,0.20785075007316633,-0.010445062262164295,0.9912437455325233,0.9877859736614303,0.988191143965603,0.9893370443634284,-0.003052601566920221
G,YAW90_LEFT,99879,13321,13321,10,0.5013770050011537,0.494200100044847,0.5118796500539664,0.5410781960157836,0.010502645052812731,0.3390470299639454,0.32951143021415685,0.35347435242022934,0.3917320343776768,0.01442732245628392,0.07338380896913221,0.09285350701290192,0.11727002883862216,0.19083382438737656,0.04388621986948994,0.9883669301127787,0.9874978409657761,0.9880920312457098,0.9884853005413864,-0.00027489886706888456
M+G,RECORDED,99879,13321,13321,10,0.44978714412543425,0.4316535383187379,0.43738388883271884,0.44668995830644104,-0.01240325529271541,0.2692349087447858,0.24641367440150758,0.25320211670341064,0.26629094201732223,-0.016032792041375143,0.08904670854957662,0.05635346756152125,0.07068526321330565,0.0834105279285773,-0.018361445336270973,0.9914438502673797,0.9871875623909879,0.9877950940234306,0.9882027623405106,-0.003648756243949114
M+G,YAW90_LEFT,99879,13321,13321,10,0.495278949590249,0.44220421584771996,0.45204173609045023,0.45782951197099797,-0.043237213499798755,0.33091078768339544,0.25998287907621526,0.2731366465571574,0.28139722878597495,-0.05777414112623802,0.0,0.0001537042729787888,0.0006185249514132247,0.0010868315582269958,0.0006185249514132247,0.9883834353108096,0.9871260173042795,0.9882331587285902,0.9888693500437604,-0.00015027658221944407
A+M,RECORDED,99879,13321,13321,10,0.5528944402233313,0.47849628041494846,0.5026270982400123,0.5648159471672897,-0.05026734198331906,0.4165814614941796,0.3183186443295569,0.35091452896124564,0.4354228635750156,-0.06566693253293393,0.36131725417439703,0.04530458839986249,0.13643697135316527,0.38520481768793846,-0.22488028282123176,0.9618333764107866,0.9553455402198867,0.9573229591260605,0.9579752261808863,-0.00451041728472612
A+M,YAW90_LEFT,99879,13321,13321,10,0.7319921520463484,0.6172689712158379,0.6542372352210306,0.6799146555290465,-0.07775491682531777,0.6608974838471879,0.5095197169288967,0.560628733442605,0.5964739131200121,-0.10026875040458294,0.7437530622243999,0.4504984395241422,0.5336181010480884,0.6540823264927436,-0.21013496117631147,0.9452761566438298,0.9351262858158692,0.9385134573489451,0.9419211838034807,-0.006762699294884711
