direction,model,orientation,n_features,source_bus,target_bus,accuracy,balanced_accuracy,macro_f1,stationary_state_macro_f1,charging_f1,driving_f1,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1,charging_support,driving_precision,driving_recall,driving_f1,driving_support
Bus A to Bus B,A,RECORDED,54,A,B,0.7711132797838001,0.6962265654847465,0.6821262298498278,0.5884373637316155,0.7161236424394319,0.9631928282044652,0.36480411046885036,0.5498547918683446,0.4386100386100386,1033,0.6689257878685192,0.5615931721194879,0.6105784101453758,3515,0.759121501948282,0.6777356103731815,0.7161236424394319,3162,0.9327212020033389,0.9957226875779719,0.9631928282044652,5611
Bus A to Bus B,A,YAW90_LEFT,54,A,B,0.7728398768861197,0.6709038338634032,0.6679344262032103,0.5753363822296862,0.7407732864674869,0.9457285581237829,0.39317953861584753,0.37947725072604066,0.38620689655172413,1033,0.7278275020341741,0.5089615931721195,0.5990289636698477,3515,0.6898527004909983,0.7998102466793169,0.7407732864674869,3162,0.9008064516129032,0.9953662448761361,0.9457285581237829,5611
Bus A to Bus B,M,RECORDED,41,A,B,0.5597928083477216,0.42692265676125474,0.39432917427821734,0.20273803691877804,0.008034433285509325,0.9691025863565353,0.062173706691979115,0.2536302032913843,0.09986659043262817,1033,0.5562130177514792,0.4546230440967283,0.5003130870381967,3515,0.043343653250773995,0.004427577482605946,0.008034433285509325,3162,0.9445102351547962,0.9950098021743005,0.9691025863565353,5611
Bus A to Bus B,M,YAW90_LEFT,41,A,B,0.6555814128068463,0.5634756358243409,0.5081621419981209,0.36077461189241,0.17916102841677944,0.9503247323152536,0.22197004085338176,0.47337850919651503,0.3022249690976514,1033,0.5204081632653061,0.7109530583214794,0.6009378381627991,3515,0.6210131332082551,0.10468058191018342,0.17916102841677944,3162,0.9361922877399274,0.9648903938691855,0.9503247323152536,5611
Bus A to Bus B,G,RECORDED,42,A,B,0.6437204414083026,0.5192903481870514,0.4961414255453509,0.3311073188829601,0.21503928170594838,0.9912437455325233,0.12006196746707978,0.30009680542110356,0.1715076071922545,1033,0.5793014230271669,0.6369843527738265,0.6067750677506775,3515,0.3704563031709203,0.1514864010120177,0.21503928170594838,3162,0.9939079018097116,0.9885938335412583,0.9912437455325233,5611
Bus A to Bus B,G,YAW90_LEFT,42,A,B,0.6759252308385256,0.549597358778076,0.5013770050011537,0.3390470299639454,0.07338380896913221,0.9883669301127787,0.3937575030012005,0.31752178121974833,0.3515541264737406,1033,0.45461468169357294,0.8492176386913229,0.5922031544489634,3515,0.4632352941176471,0.03984819734345351,0.07338380896913221,3162,0.9849557522123894,0.9918018178577793,0.9883669301127787,5611
Bus A to Bus B,M+G,RECORDED,83,A,B,0.5959012086179716,0.4714186888322477,0.44978714412543425,0.2692349087447858,0.08904670854957662,0.9914438502673797,0.07027027027027027,0.3020329138431752,0.11401425178147269,1033,0.6855391272989542,0.5408250355618777,0.6046437659033079,3515,0.32665330661322645,0.05154965211891208,0.08904670854957662,3162,0.9916206097343555,0.9912671538050258,0.9914438502673797,5611
Bus A to Bus B,M+G,YAW90_LEFT,83,A,B,0.6761504391562195,0.5788452206836635,0.495278949590249,0.33091078768339544,0.0,0.9883834353108096,0.30312124849939975,0.4888673765730881,0.3742126713597629,1033,0.49177300201477503,0.8332859174964438,0.6185196916904234,3515,0.0,0.0,0.0,3162,0.9835863042710907,0.9932275886651221,0.9883834353108096,5611
Bus A to Bus B,A+M,RECORDED,95,A,B,0.6717213422415734,0.5952916858720073,0.5528944402233313,0.4165814614941796,0.36131725417439703,0.9618333764107866,0.2040041422160856,0.5721200387221684,0.300763358778626,1033,0.6089078706528371,0.5678520625889047,0.5876637715295157,3515,0.6773913043478261,0.2463630613535737,0.36131725417439703,3162,0.9309539693128752,0.9948315808233826,0.9618333764107866,5611
Bus A to Bus B,A+M,YAW90_LEFT,95,A,B,0.8034682080924855,0.7224498392886409,0.7319921520463484,0.6608974838471879,0.7437530622243999,0.9452761566438298,0.6083995459704881,0.5188770571151985,0.5600835945663531,1033,0.70462197734925,0.6549075391180654,0.6788557947508109,3515,0.7689969604863222,0.7201138519924098,0.7437530622243999,3162,0.8995492594977463,0.9959009089288897,0.9452761566438298,5611
