representation,bus,n_features,stationary_state_macro_f1,charging_f1,driving_f1,macro_f1_diagnostic
LEVEL_AXIS,A,12,0.5944956305437453,0.56045995415014,0.920853747817762,0.6760851598622495
LEVEL_AXIS,B,12,0.48865913856157994,0.5311926605504587,0.816096348690499,0.5705184410938097
LEVEL_NORM,A,3,0.3526533081895913,0.29122173607074014,0.722905600596403,0.4452163812912942
LEVEL_NORM,B,3,0.4502940655815135,0.5816485225505443,0.8558730158730159,0.5516888031543892
LEVEL_AMPLITUDE,A,15,0.6018458867568973,0.5717278243282289,0.9193579230362546,0.6812238958267367
LEVEL_AMPLITUDE,B,15,0.5094686187884551,0.5761280284507668,0.8381383449768769,0.5916360503355605
VARIABILITY_DYNAMICS,A,26,0.5237608424950967,0.44561889488263595,0.9824683020639996,0.6384377073873224
VARIABILITY_DYNAMICS,B,26,0.6213257636623367,0.6965811965811965,0.9813742090722752,0.7113378750148214
MAG_ALL,A,41,0.6516795297983798,0.6022302050591228,0.9823470882198397,0.7343464194037448
MAG_ALL,B,41,0.6425121727062777,0.6276415891800508,0.9767108563238982,0.7260618436106828
