contrast,metric,orientation_A,representation_A,orientation_B,representation_B,point_delta_A_minus_B,bootstrap_median,bootstrap_mean,ci_low,ci_high,fraction_delta_gt_0,bootstrap_reps,n_target_days
REC_LEVEL_MINUS_VARIABILITY,stationary_macro_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,VARIABILITY_DYNAMICS,0.09025716701187564,0.08782067786868747,0.0844181241347923,-0.02241806097546448,0.17202125413754382,0.9465,2000,30
REC_LEVEL_MINUS_VARIABILITY,charging_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,VARIABILITY_DYNAMICS,0.5814405266327836,0.5821154912239337,0.5660508633982101,0.23657146683366653,0.7881058600448001,0.998,2000,30
REC_LEVEL_MINUS_VARIABILITY,driving_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,VARIABILITY_DYNAMICS,-0.12881599578552494,-0.12906979839878613,-0.12889484115359098,-0.1554794426007433,-0.10181902285310615,0.0,2000,30
REC_LEVEL_MINUS_VARIABILITY,macro_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,VARIABILITY_DYNAMICS,0.03548887631252551,0.03359054440349879,0.03108988281269647,-0.04717415391312449,0.09634233734486991,0.817,2000,30
REC_LEVEL_MINUS_ALL41,stationary_macro_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,MAG_ALL,0.15529055799872124,0.15410898139266643,0.14879627501634873,0.03800472206868278,0.22974976354647436,0.9905,2000,30
REC_LEVEL_MINUS_ALL41,charging_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,MAG_ALL,0.5822296227590389,0.582652582189574,0.5667126097940066,0.23976496130728944,0.7878103764510253,0.998,2000,30
REC_LEVEL_MINUS_ALL41,driving_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,MAG_ALL,-0.1261711109177841,-0.12645134678322795,-0.12625662805291532,-0.15411440618640845,-0.09862880043447415,0.0,2000,30
REC_LEVEL_MINUS_ALL41,macro_f1,RECORDED,LEVEL_AMPLITUDE,RECORDED,MAG_ALL,0.0849251407695949,0.08290681042008524,0.08003304924903273,0.00039172614184252867,0.13986078654238865,0.975,2000,30
REC_AXIS_MINUS_NORM,stationary_macro_f1,RECORDED,LEVEL_AXIS,RECORDED,LEVEL_NORM,0.10986427173827251,0.10784007165739132,0.10594382485866162,-0.008035313184430128,0.20527019422670773,0.967,2000,30
REC_AXIS_MINUS_NORM,charging_f1,RECORDED,LEVEL_AXIS,RECORDED,LEVEL_NORM,0.42862729317846093,0.4369586644242646,0.4169556275928786,0.011576909401491805,0.7158592225812073,0.978,2000,30
