orientation,direction,source_vehicle,target_vehicle,sensor_configuration,method,protocol,target_adaptation_days,uses_target_adaptation,normalizer_fit_days,n_features,test_rows,test_operating_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high,causal_warmup_rows_source,causal_warmup_rows_target
RECORDED,Bus A to Bus B,Bus A,Bus B,A,RAW,INDUCTIVE_FIXED_TEST,1,False,0,54,7059,12,0,0.0,0.0,0.8501204136563253,0.7904300542756071,0.7452712720394685,0.8671454219030521,0.9779643231899265,0.6677069216559826,0.794020931984902,0.3333333333333333,0.6694214876033058,0.44505494505494503,242,0.8223538119911177,0.5957104557640751,0.6909203980099502,1865,0.8370883882149047,0.8994413407821229,0.8671454219030521,2148,0.9595058339052849,0.9971469329529244,0.9779643231899265,2804,0.7452712720394685,0.6405150647843565,0.8603635310176101,0.8671454219030521,0.6985095849176172,0.9545783086585912,0.0,0.0,0.0,0.0,0.0,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,ZSCORE,INDUCTIVE_FIXED_TEST,1,True,1,54,7059,12,81,1.35,4.197950277777777,0.3972234027482646,0.25,0.14216183329953355,0.0,0.5686473331981342,0.0,0.08529709997972013,0.0,0.0,0.0,242,0.0,0.0,0.0,1865,0.0,0.0,0.0,2148,0.39727968262964014,1.0,0.5686473331981342,2804,0.14216183329953358,0.13245371771857922,0.15178723137419894,0.0,0.0,0.0,-0.6031094387399349,-0.7143399640571263,-0.501591388681693,-0.8671454219030521,-0.9484363827639885,-0.7190138868521303,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,QUANTILE,INDUCTIVE_FIXED_TEST,1,True,1,54,7059,12,81,1.35,4.197950277777777,0.45261368465788354,0.31230197416524497,0.24687077879112201,0.0,0.6284177498879426,0.1196884550921818,0.1481224672746732,1.0,0.045454545454545456,0.08695652173913043,242,0.40948275862068967,0.2037533512064343,0.272108843537415,1865,0.0,0.0,0.0,2148,0.45816993464052286,1.0,0.6284177498879426,2804,0.24687077879112201,0.2111577541005416,0.28808466023522994,0.0,0.0,0.0,-0.4984004932483465,-0.5976479313822586,-0.401921648667978,-0.8671454219030521,-0.9503718880961579,-0.7046832935360771,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CORAL,INDUCTIVE_FIXED_TEST,1,True,1,54,7059,12,81,1.35,4.197950277777777,0.513670491571044,0.548170452502831,0.37613554781399705,0.0,0.8814092481912551,0.2077109810215777,0.22568132868839821,0.07335907335907337,0.8636363636363636,0.13523131672597866,242,0.9375,0.3297587131367292,0.48790162633875445,1865,0.0,0.0,0.0,2148,0.7884074282498593,0.9992867332382311,0.8814092481912551,2804,0.37613554781399705,0.34230273177775744,0.4177548959986894,0.0,0.0,0.0,-0.3691357242254715,-0.4697672896952334,-0.25958207497531904,-0.8671454219030521,-0.9533704175456752,-0.7059623204569777,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CAUSAL,INDUCTIVE_FIXED_TEST,1,False,0,54,7059,12,0,0.0,0.0,0.7607309817254568,0.6796069908834963,0.645492540771352,0.6625595071408569,0.9836296426685442,0.5327801734722879,0.6523193273191539,0.08386638237384506,0.48760330578512395,0.14311704063068525,242,0.9430473372781065,0.6836461126005362,0.7926639726453217,1865,0.83134223471539,0.5507448789571695,0.6625595071408569,2148,0.9711505039972194,0.9964336661911555,0.9836296426685442,2804,0.645492540771352,0.5880824816645694,0.7257299910755959,0.6625595071408569,0.43281620794799963,0.822300212903471,-0.09977873126811654,-0.21025439267946766,-0.003615334335101161,-0.20458591476219523,-0.36173095346473116,-0.07768985119496416,254.0,12.0
RECORDED,Bus A to Bus B,Bus A,Bus B,A,RAW,INDUCTIVE_FIXED_TEST,3,False,0,54,7059,12,0,0.0,0.0,0.8501204136563253,0.7904300542756071,0.7452712720394685,0.8671454219030521,0.9779643231899265,0.6677069216559826,0.794020931984902,0.3333333333333333,0.6694214876033058,0.44505494505494503,242,0.8223538119911177,0.5957104557640751,0.6909203980099502,1865,0.8370883882149047,0.8994413407821229,0.8671454219030521,2148,0.9595058339052849,0.9971469329529244,0.9779643231899265,2804,0.7452712720394685,0.6405150647843565,0.8603635310176101,0.8671454219030521,0.6985095849176172,0.9545783086585912,0.0,0.0,0.0,0.0,0.0,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,ZSCORE,INDUCTIVE_FIXED_TEST,3,True,3,54,7059,12,210,3.5,24.16194833333333,0.3972234027482646,0.25004488991215157,0.14389414159301883,0.0,0.5745618530285949,0.00033823778116015557,0.0863364849558113,0.0,0.0,0.0,242,0.009433962264150943,0.0005361930294906167,0.0010147133434804667,1865,0.0,0.0,0.0,2148,0.40313533726449013,0.9996433666191156,0.5745618530285949,2804,0.14389414159301883,0.13497129638765423,0.15440057005263833,0.0,0.0,0.0,-0.6013771304464497,-0.7156077686439556,-0.4988706125470211,-0.8671454219030521,-0.9530537639707165,-0.712052375080039,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,QUANTILE,INDUCTIVE_FIXED_TEST,3,True,3,54,7059,12,210,3.5,24.16194833333333,0.5203286584502054,0.4294634971396791,0.3540757852657509,0.0,0.8832519300456909,0.1776837370057709,0.21244547115945053,0.1650943396226415,0.2892561983471074,0.21021021021021022,242,0.2588159171789065,0.4289544235924933,0.3228410008071025,1865,0.0,0.0,0.0,2148,0.7911374541349139,0.9996433666191156,0.8832519300456909,2804,0.3540757852657509,0.315848455084203,0.40664853881128554,0.0,0.0,0.0,-0.3911954867737176,-0.4972737509655044,-0.305588608379688,-0.8671454219030521,-0.9512314195283837,-0.7226538597343712,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CORAL,INDUCTIVE_FIXED_TEST,3,True,3,54,7059,12,210,3.5,24.16194833333333,0.4959626009349766,0.49725205576430265,0.35438482989389397,0.0,0.8934948979591837,0.17468147387213076,0.21263089793633638,0.05864197530864197,0.7066115702479339,0.10829639012032932,242,0.7822222222222223,0.2831099195710456,0.415748031496063,1865,0.0,0.0,0.0,2148,0.8079584775086506,0.9992867332382311,0.8934948979591837,2804,0.35438482989389397,0.3246624219748155,0.39633726325203045,0.0,0.0,0.0,-0.39088644214557455,-0.48929157692790065,-0.29346391693050405,-0.8671454219030521,-0.9484295678718804,-0.7118542393216274,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CAUSAL,INDUCTIVE_FIXED_TEST,3,False,0,54,7059,12,0,0.0,0.0,0.7607309817254568,0.6796069908834963,0.645492540771352,0.6625595071408569,0.9836296426685442,0.5327801734722879,0.6523193273191539,0.08386638237384506,0.48760330578512395,0.14311704063068525,242,0.9430473372781065,0.6836461126005362,0.7926639726453217,1865,0.83134223471539,0.5507448789571695,0.6625595071408569,2148,0.9711505039972194,0.9964336661911555,0.9836296426685442,2804,0.645492540771352,0.5880824816645694,0.7257299910755959,0.6625595071408569,0.43281620794799963,0.822300212903471,-0.09977873126811654,-0.21025439267946766,-0.003615334335101161,-0.20458591476219523,-0.36173095346473116,-0.07768985119496416,254.0,12.0
