bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_runs,n_test_splits,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,objective_score_p25,objective_score_p50,objective_score_p75,adaptation_rows_p25,adaptation_rows_p50,adaptation_rows_p75,adaptation_hours_p25,adaptation_hours_p50,adaptation_hours_p75,adaptation_window_hours_p25,adaptation_window_hours_p50,adaptation_window_hours_p75,adaptation_span_hours_p25,adaptation_span_hours_p50,adaptation_span_hours_p75
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.5712143607201051,0.6031741760554412,0.6484310886050118,0.542811942523328,0.5943138160499329,0.6391066818331107,0.4241430626528652,0.4743858485610217,0.5389529361145664,0.2452005188871056,0.3106537414233195,0.3946278445933516,0.2452005188871056,0.3106537414233195,0.3946278445933516,0.0,0.001717475627922,0.1023968014937446,0.0,0.001717475627922,0.1023968014937446,0.9604284474835127,0.9728426037842332,0.9779395288355576,0.9604284474835127,0.9728426037842332,0.9779395288355576,0.2555172101697073,0.28626071694974,0.3653510490596627,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.5111912936586263,0.5849259604554551,0.6287292963907992,0.5409226021423748,0.5779697498948344,0.6194550223259119,0.4250890517500865,0.4772080483606062,0.500032541987053,0.2759636510944347,0.3277018662050223,0.3772566116247465,0.2759636510944347,0.3277018662050223,0.3772566116247465,0.0003494060097833,0.0599107943036827,0.1744990153344155,0.0003494060097833,0.0599107943036827,0.1744990153344155,0.7993926925975269,0.8991350376356699,0.9380375048591773,0.7993926925975269,0.8991350376356699,0.9380375048591773,0.264957575236915,0.2952564728161631,0.3680676710222243,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,50,5,0.5115443779526061,0.5401334411645774,0.5615653726162677,0.4594457607478991,0.5097101083347022,0.5420066110472666,0.3895195301125009,0.4144091039653816,0.4482836763550343,0.2258185213795864,0.2588936491369848,0.2989644364114727,0.2258185213795864,0.2588936491369848,0.2989644364114727,0.0015149251150935,0.0049797365754812,0.0776184929564575,0.0015149251150935,0.0049797365754812,0.0776184929564575,0.8461222218618669,0.903525077417442,0.9274808196039518,0.8461222218618669,0.903525077417442,0.9274808196039518,0.2382258734824051,0.2579755347453374,0.286310880740498,589.0,736.5,964.0,11.421680833333337,13.553874444444444,17.34404888888889,9.816666666666666,12.275,16.066666666666666,13.905689444444446,15.772793472222222,19.13559763888889
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,50,5,0.6137628000751302,0.676702307259426,0.8080188130319332,0.516397439176225,0.5845105211196763,0.7025479169543637,0.4491336696519425,0.4947823960962888,0.6989524896523763,0.276252153209229,0.3415630498204685,0.6078325720508089,0.276252153209229,0.3415630498204685,0.6078325720508089,0.0,0.0611567315490673,0.7674990205881149,0.0,0.0611567315490673,0.7674990205881149,0.9504022896178276,0.9702140508622424,0.9767022590909342,0.9504022896178276,0.9702140508622424,0.9767022590909342,0.2714375972846329,0.3086931455006,0.7286053294489587,882.0,1372.0,1831.0,16.609659097222224,26.11466263888889,34.0089870138889,14.7,22.866666666666667,30.516666666666666,27.94670875,36.40455805555556,43.86834604166666
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,50,5,0.6058426562460942,0.663405767733855,0.7347191149940334,0.5851931978319307,0.6341943495048125,0.7249787493849545,0.4964336399742545,0.5504782926254711,0.6631835715200647,0.3518110073132676,0.4545090367844903,0.5754022224736738,0.3518110073132676,0.4545090367844903,0.5754022224736738,0.0749732771629778,0.3314994665037877,0.6186808282545402,0.0749732771629778,0.3314994665037877,0.6186808282545402,0.8907717306990536,0.9319038519944116,0.968707740356752,0.8907717306990536,0.9319038519944116,0.968707740356752,0.317187206077281,0.4991011397669886,0.6456368211401767,882.0,1372.0,1831.0,16.609659097222224,26.11466263888889,34.0089870138889,14.7,22.866666666666667,30.516666666666666,27.94670875,36.40455805555556,43.86834604166666
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,3,50,5,0.5654628592758492,0.5923155389323359,0.6638969628991993,0.4946440971410805,0.5510397301642828,0.6052682257182653,0.4175921628415219,0.4707776352934516,0.565097832589588,0.2599505596893331,0.3238194459659705,0.4546523219033943,0.2599505596893331,0.3238194459659705,0.4546523219033943,0.0086309251289564,0.0808715249105422,0.4634582462638829,0.0086309251289564,0.0808715249105422,0.4634582462638829,0.8960093428530737,0.910496326453666,0.9186326720744776,0.8960093428530737,0.910496326453666,0.9186326720744776,0.2586371632199509,0.3055751998600255,0.5300509091732394,882.0,1372.0,1831.0,16.609659097222224,26.11466263888889,34.0089870138889,14.7,22.866666666666667,30.516666666666666,27.94670875,36.40455805555556,43.86834604166666
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,7,50,5,0.7016320979258756,0.8047113566006785,0.8281229158277463,0.6121914587991537,0.6923524417457763,0.7171305512096324,0.592477056611971,0.6921838687136062,0.7184040848988671,0.4675063838571768,0.5992226453197382,0.633190237089033,0.4675063838571768,0.5992226453197382,0.633190237089033,0.3881131263428289,0.7514585861577948,0.8026494010310579,0.3881131263428289,0.7514585861577948,0.8026494010310579,0.9603018487279082,0.9683239611448956,0.974567130549948,0.9603018487279082,0.9683239611448956,0.974567130549948,0.5248748097531801,0.7167056202083837,0.7579759461348314,2863.25,3423.5,3867.5,53.69083277777782,64.76694652777776,72.11586145833337,47.72083333333333,57.05833333333334,64.45833333333334,74.31092666666666,85.10909194444443,94.63826236111112
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,7,50,5,0.7229619280463104,0.7607157298827335,0.7989384288747347,0.7055331662778432,0.7421093501252174,0.7819815424272665,0.6546524556954818,0.691782662590465,0.7402785726072068,0.5525909873601037,0.6011875284967226,0.660953306479443,0.5525909873601037,0.6011875284967226,0.660953306479443,0.5852472647128576,0.6732676623153147,0.7926543897509724,0.5852472647128576,0.6732676623153147,0.7926543897509724,0.9383166616326384,0.9601858380700206,0.9707376804008075,0.9383166616326384,0.9601858380700206,0.9707376804008075,0.629145571284545,0.6920539296162675,0.7606539603382437,2863.25,3423.5,3867.5,53.69083277777782,64.76694652777776,72.11586145833337,47.72083333333333,57.05833333333334,64.45833333333334,74.31092666666666,85.10909194444443,94.63826236111112
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,7,50,5,0.6365485330263121,0.6756455715611553,0.7162440297909152,0.5959610369645527,0.6261848414440656,0.6647513401497944,0.5304317740986229,0.5898855173905422,0.6255731104966864,0.4022574925590267,0.4815619735121873,0.5309856971080766,0.4022574925590267,0.4815619735121873,0.5309856971080766,0.2759503781204951,0.4996190293590169,0.6242253035514078,0.2759503781204951,0.4996190293590169,0.6242253035514078,0.9066431251379388,0.913132528849075,0.9203862601309712,0.9066431251379388,0.913132528849075,0.9203862601309712,0.4386751851638067,0.5571642418244909,0.6171930996267343,2863.25,3423.5,3867.5,53.69083277777782,64.76694652777776,72.11586145833337,47.72083333333333,57.05833333333334,64.45833333333334,74.31092666666666,85.10909194444443,94.63826236111112
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,14,50,5,0.8159623713294392,0.8236728568748828,0.8353248845493109,0.6930084491844317,0.7024254205185696,0.7257856228900891,0.6970721897354792,0.7066879609587006,0.7194877149979401,0.6059411801186958,0.6191819771799651,0.6365551460459149,0.6059411801186958,0.6191819771799651,0.6365551460459149,0.7670880046807186,0.7868604103756913,0.8299273672883788,0.7670880046807186,0.7868604103756913,0.8299273672883788,0.9647945799953536,0.9688118973991768,0.9721989970485576,0.9647945799953536,0.9688118973991768,0.9721989970485576,0.7259332741309323,0.741258296276689,0.7612468468696983,6078.5,6596.0,7111.75,114.20434597222226,122.67233569444431,132.0780080555556,101.30833333333334,109.93333333333334,118.52916666666668,158.38942458333332,166.7712204166667,177.55560868055557
