bus_b_orientation,bus_b_orientation_role,orientation_vehicle,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,partition_id,budget_k_days,subset_repeat,uses_target_adaptation,normalizer_fit_days,adaptation_days,test_days,test_rows,test_service_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,adaptation_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_macro_f1,objective_score,apagado_precision,apagado_recall,apagado_f1,apagado_support,encendido_precision,encendido_recall,encendido_f1,encendido_support,recarga_principal_precision,recarga_principal_recall,recarga_principal_f1,recarga_principal_support,movimiento_precision,movimiento_recall,driving_f1,movimiento_support,stationary_macro_f1,charging_f1,control_role,feature_dimension,source_quantile_n_requested,source_quantile_n_effective,causal_warmup_rows_source,causal_warmup_rows_target,subset_seed_index,subset_rng_seed,subset_attempts,subset_resamples,subset_retained_windows,target_quantile_n_requested,target_quantile_n_effective,coral_n_adaptation_rows,coral_n_features,coral_n_minus_d,coral_rows_per_feature,coral_regularized_cov_min_eigenvalue,coral_regularized_cov_max_eigenvalue,coral_regularized_cov_condition_number
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.7394485087225662,0.6975598913165795,0.6597925315005151,0.6623376623376623,0.9666366095581606,0.5575111721479665,0.6608105838353739,0.3380884450784593,0.6620111731843575,0.4475920679886686,358,0.640695915279879,0.5014801657785672,0.5626037861175689,1689,0.6993143976493633,0.6290748898678414,0.6623376623376623,1135,0.9374726716222124,0.9976733364355514,0.9666366095581606,2149,0.5575111721479665,0.6623376623376623,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.6741699493528419,0.5702937650318828,0.5511609070174363,0.3580034423407917,0.9749658625398272,0.4098925885099726,0.4738979211467784,0.1175560711523588,0.4245810055865922,0.1841308298001211,358,0.8337552742616033,0.5849615156897573,0.6875434933890049,1689,0.5131578947368421,0.2748898678414097,0.3580034423407917,1135,0.9541202672605792,0.996742671009772,0.9749658625398272,2149,0.4098925885099726,0.3580034423407917,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,1,True,1,2025-05-20,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,964,16.066666666666666,19.152224722222225,17.80049305555555,0.603639092102795,0.5892446017949265,0.4628111652503652,0.0120068610634648,0.9814298978644382,0.2899382543790076,0.282489443575605,0.1405172413793103,0.9106145251396648,0.2434652725914861,358,0.9390986601705238,0.4564831261101243,0.6143426294820717,1689,0.2258064516129032,0.0061674008810572,0.0120068610634648,1135,0.9791570171375636,0.98371335504886,0.9814298978644382,2149,0.2899382543790076,0.0120068610634648,ADAPTIVE_BUDGET,54,1000,1000,,,1.0,21360913.0,1.0,0.0,964.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,1,True,1,2025-05-20,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,964,16.066666666666666,19.152224722222225,17.80049305555555,0.5293565935096605,0.5494433053397679,0.4325341713520405,0.0881254667662434,0.8943047716777834,0.2786106379101262,0.2947706895177217,0.1439098396185522,0.9273743016759776,0.249155722326454,358,0.642390289449113,0.4073416222616933,0.4985507246376812,1689,0.2892156862745098,0.0519823788546255,0.0881254667662434,1135,0.9965694682675816,0.8110749185667753,0.8943047716777834,2149,0.2786106379101262,0.0881254667662434,ADAPTIVE_BUDGET,54,1000,1000,,,1.0,21360913.0,1.0,0.0,964.0,1000.0,964.0,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,1,True,1,2025-05-20,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,964,16.066666666666666,19.152224722222225,17.80049305555555,0.5387356968673794,0.5003226237008923,0.3946183419168362,0.0,0.9058849459995592,0.2241961405559286,0.2367710051501017,0.113031914893617,0.7122905027932961,0.1951032899770466,358,0.8451127819548873,0.3327412670219064,0.4774851316907391,1689,0.0,0.0,0.0,1135,0.8605527638190955,0.9562587249883668,0.9058849459995592,2149,0.2241961405559286,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,1.0,21360913.0,1.0,0.0,964.0,,,964.0,54.0,910.0,17.85185185185185,0.0026595997031095,140294.78777422546,52750339.688411474
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,2,True,1,2025-04-28,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,732,12.2,15.95895611111111,14.25476166666667,0.67623335209154,0.6446970259418632,0.5566283960437994,0.2352092352092352,0.9824561403508772,0.4146858146081069,0.4280607317099738,0.166758392955421,0.8463687150837989,0.2786206896551724,358,0.9361111111111112,0.5985790408525755,0.7302275189599133,1689,0.649402390438247,0.1436123348017621,0.2352092352092352,1135,0.9748053137883648,0.990228013029316,0.9824561403508772,2149,0.4146858146081069,0.2352092352092352,ADAPTIVE_BUDGET,54,1000,1000,,,2.0,21360914.0,1.0,0.0,732.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,2,True,1,2025-04-28,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,732,12.2,15.95895611111111,14.25476166666667,0.5132245357343838,0.5331396741517264,0.4054730027900876,0.0,0.7966480446927374,0.2750813221558709,0.2432838016740525,0.1545632973503434,0.8798882681564246,0.2629382303839733,358,0.5378378378378378,0.5891059798697454,0.5623057360836394,1689,0.0,0.0,0.0,1135,0.9965059399021664,0.6635644485807353,0.7966480446927374,2149,0.2750813221558709,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,2.0,21360914.0,1.0,0.0,732.0,1000.0,732.0,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,2,True,1,2025-04-28,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,732,12.2,15.95895611111111,14.25476166666667,0.5773776027011818,0.5365683485125305,0.4330556801962684,0.003392705682782,0.9432413950307728,0.2629937752514337,0.2611904903908739,0.1233766233766233,0.7430167597765364,0.2116149562450278,358,0.8297872340425532,0.4387211367673179,0.5739736638264911,1689,0.0454545454545454,0.0017621145374449,0.003392705682782,1135,0.924486148346738,0.9627733829688228,0.9432413950307728,2149,0.2629937752514337,0.003392705682782,ADAPTIVE_BUDGET,54,1000,1000,,,2.0,21360914.0,1.0,0.0,732.0,,,732.0,54.0,678.0,13.555555555555555,0.0011860920097922,61848.68203931893,52144927.652072914
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,3,True,1,2025-04-14,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,652,10.866666666666667,18.68358861111111,13.319334999999995,0.785781279309698,0.657283943015565,0.6741124690043735,0.6285971223021583,0.9744758432087512,0.5739913442695809,0.6559063303234873,0.6305732484076433,0.276536312849162,0.3844660194174757,358,0.6787648970747562,0.7418590882178804,0.7089108910891089,1689,0.6418732782369146,0.6158590308370044,0.6285971223021583,1135,0.954890576150067,0.9948813401582132,0.9744758432087512,2149,0.5739913442695809,0.6285971223021583,ADAPTIVE_BUDGET,54,1000,1000,,,3.0,21360915.0,2.0,1.0,652.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,3,True,1,2025-04-14,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,652,10.866666666666667,18.68358861111111,13.319334999999995,0.6268992684299382,0.6023600875116892,0.4783393547951726,0.0,0.9394459426329984,0.3246371588492307,0.2870036128771036,0.1612223393045311,0.8547486033519553,0.2712765957446808,358,0.7471647765176784,0.6631142687981054,0.7026348808030113,1689,0.0,0.0,0.0,1135,0.9927461139896372,0.8915774778966962,0.9394459426329984,2149,0.3246371588492307,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,3.0,21360915.0,2.0,1.0,652.0,1000.0,652.0,,,,,,,
