bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_runs,n_test_splits,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,stationary_macro_f1_p25,stationary_macro_f1_p50,stationary_macro_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75,objective_score_p25,objective_score_p50,objective_score_p75,adaptation_rows_p25,adaptation_rows_p50,adaptation_rows_p75,adaptation_hours_p25,adaptation_hours_p50,adaptation_hours_p75,adaptation_window_hours_p25,adaptation_window_hours_p50,adaptation_window_hours_p75,adaptation_span_hours_p25,adaptation_span_hours_p50,adaptation_span_hours_p75
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.824798349277809,0.8346072186836518,0.8374443995147594,0.7059310902045248,0.7099107281776054,0.7157211647871002,0.7035138754696808,0.7087980902761848,0.7114557698366587,0.615515492202655,0.6227065411274365,0.6248087879690559,0.615515492202655,0.6227065411274365,0.6248087879690559,0.7868357487922706,0.822998193859121,0.843579766536965,0.7868357487922706,0.822998193859121,0.843579766536965,0.967509025270758,0.9686119507091374,0.9692671394799054,0.967509025270758,0.9686119507091374,0.9692671394799054,0.7359637469685555,0.7560727394456437,0.7627107607804968,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.7872611464968153,0.8048282896973818,0.8141097424412094,0.7762615827563967,0.7773533070689287,0.7909181378903033,0.7327543160866202,0.7340924815160035,0.7532899691729651,0.6519500400416318,0.6570044343551565,0.679490415573328,0.6519500400416318,0.6570044343551565,0.679490415573328,0.6952931461601982,0.7654814222932481,0.8056984566679858,0.6952931461601982,0.7654814222932481,0.8056984566679858,0.9746886299718762,0.9751671442215856,0.9769606702350476,0.9746886299718762,0.9751671442215856,0.9769606702350476,0.7300912399678583,0.7627348715767964,0.762784161065956,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.7321761851437103,0.7514537610204465,0.7522292993630574,0.665684085809533,0.6940756755125072,0.6950122996652227,0.6473451577813247,0.6611162467414203,0.665275599773965,0.5576334641658032,0.5792893305126188,0.5811686108574183,0.5576334641658032,0.5792893305126188,0.5811686108574183,0.7028728846910665,0.7672162948593598,0.7714851485148515,0.7028728846910665,0.7672162948593598,0.7714851485148515,0.9065969954278248,0.9162098668754894,0.9164802386278896,0.9065969954278248,0.9162098668754894,0.9164802386278896,0.6778189019212788,0.7034675022337489,0.706051877808123,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.8099474322684997,0.8373663477771525,0.8507430997876858,0.6939735743384732,0.7407712051842466,0.7747790258974832,0.7133736750408917,0.7417450002400393,0.7820693483220992,0.6294061802533881,0.6668587977646222,0.7207030073090879,0.6294061802533881,0.6668587977646222,0.7207030073090879,0.7283135182738881,0.7879017013232514,0.8246575342465754,0.7283135182738881,0.7879017013232514,0.8246575342465754,0.9652761594034024,0.966168371361133,0.9664036076662909,0.9652761594034024,0.966168371361133,0.9664036076662909,0.7174268894578568,0.7602076806733242,0.807476030305971,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6726390444195596,0.6851380042462845,0.7103026181570894,0.6609449610418496,0.6712274712341709,0.6740024240538001,0.5663878851981181,0.6244320990946616,0.6256977587564321,0.4287848790224222,0.5078839133899647,0.5081997476515935,0.4287848790224222,0.5078839133899647,0.5081997476515935,0.1910331384015594,0.4329140461215933,0.4353819643882826,0.1910331384015594,0.4329140461215933,0.4353819643882826,0.9747292418772564,0.9791915809614924,0.9791969037252056,0.9747292418772564,0.9791915809614924,0.9791969037252056,0.4009373139625841,0.5478248779054342,0.5497457379743081,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6433481601293974,0.6492215344213094,0.6841210472628357,0.5659250125895681,0.6104743321789762,0.6391035398867153,0.5178142526701609,0.534612449123623,0.5970981809545368,0.3801561078753828,0.4040907864912272,0.4815241663663487,0.3801561078753828,0.4040907864912272,0.4815241663663487,0.3748238609675904,0.4199475065616798,0.4327018943170488,0.3748238609675904,0.4199475065616798,0.4327018943170488,0.9307886870544952,0.935969445068524,0.9434782608695652,0.9307886870544952,0.935969445068524,0.9434782608695652,0.4541747584915837,0.4786675542267684,0.5313396662995417,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_GYR,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.8286674132138858,0.8308009754267492,0.8673675697533361,0.7015932994516065,0.7064876972005785,0.7538824475658639,0.7061721272972054,0.7099751753972685,0.7670004697719052,0.6166519933884583,0.6202659624782378,0.698857769219683,0.6166519933884583,0.6202659624782378,0.698857769219683,0.769620253164557,0.7790171842025927,0.8388364779874213,0.769620253164557,0.7790171842025927,0.8388364779874213,0.9714285714285714,0.9747325290234464,0.9791028141543604,0.9714285714285714,0.9747325290234464,0.9791028141543604,0.7338332065041839,0.734330157897717,0.7957348730581116,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_GYR,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.7367303609341825,0.7371613424989891,0.7794034890264491,0.6813405687878306,0.7228267560628858,0.7290647614285544,0.6280698453983367,0.6799420308745835,0.6953377105655413,0.5086637309986001,0.5801605290832574,0.5990280996650531,0.5086637309986001,0.5801605290832574,0.5990280996650531,0.5980066445182725,0.6088850174216028,0.6513614522156967,0.5980066445182725,0.6088850174216028,0.6513614522156967,0.979315831344471,0.984266543267006,0.9862881885975464,0.979315831344471,0.984266543267006,0.9862881885975464,0.6160445650463109,0.6515192254933913,0.6777472072256034,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_GYR,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.6739823672856875,0.6935423665546846,0.7040032349373231,0.5886062690598777,0.6134260199757403,0.619840446029903,0.5728756209337249,0.5800435014508503,0.5887042647208778,0.4579484181428845,0.4653298429543395,0.4786044148862321,0.4579484181428845,0.4653298429543395,0.4786044148862321,0.4706565950029053,0.5402357765248591,0.5914958238420653,0.4706565950029053,0.5402357765248591,0.5914958238420653,0.9190038142248148,0.9241844769403824,0.924294381429702,0.9190038142248148,0.9241844769403824,0.924294381429702,0.5319880105613971,0.5641204114804539,0.5898208883693528,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG_GYR,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,5,0.8042179917879806,0.8273885350318472,0.8424310635903207,0.6759770801308537,0.7105560154219803,0.7297242919668201,0.6811935553412933,0.722958205821096,0.7361104916239755,0.5816508471342381,0.6373946972512857,0.6563440434767761,0.5816508471342381,0.6373946972512857,0.6563440434767761,0.7064743374706475,0.7702001482579689,0.7941176470588235,0.7064743374706475,0.7702001482579689,0.7941176470588235,0.9716580066131318,0.9754098360655736,0.9796487315305268,0.9716580066131318,0.9754098360655736,0.9796487315305268,0.6913058681930351,0.7497463542775729,0.751421982316187,7990.0,8375.0,8611.0,150.05160749999996,158.7114808333332,160.7930033333332,133.16666666666666,139.58333333333334,143.51666666666668,212.32198277777775,212.34181361111115,215.87509
