bus_b_orientation,bus_b_orientation_role,orientation_vehicle,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,partition_id,budget_k_days,subset_repeat,uses_target_adaptation,normalizer_fit_days,adaptation_days,test_days,test_rows,test_service_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,adaptation_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_macro_f1,objective_score,apagado_precision,apagado_recall,apagado_f1,apagado_support,encendido_precision,encendido_recall,encendido_f1,encendido_support,recarga_principal_precision,recarga_principal_recall,recarga_principal_f1,recarga_principal_support,movimiento_precision,movimiento_recall,driving_f1,movimiento_support,stationary_macro_f1,charging_f1,control_role,feature_dimension,source_quantile_n_requested,source_quantile_n_effective,causal_warmup_rows_source,causal_warmup_rows_target,subset_seed_index,subset_rng_seed,subset_attempts,subset_resamples,subset_retained_windows,target_quantile_n_requested,target_quantile_n_effective,coral_n_adaptation_rows,coral_n_features,coral_n_minus_d,coral_rows_per_feature,coral_regularized_cov_min_eigenvalue,coral_regularized_cov_max_eigenvalue,coral_regularized_cov_condition_number
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.7394485087225662,0.6975598913165795,0.6597925315005151,0.6623376623376623,0.9666366095581606,0.5575111721479665,0.6608105838353739,0.3380884450784593,0.6620111731843575,0.4475920679886686,358,0.640695915279879,0.5014801657785672,0.5626037861175689,1689,0.6993143976493633,0.6290748898678414,0.6623376623376623,1135,0.9374726716222124,0.9976733364355514,0.9666366095581606,2149,0.5575111721479665,0.6623376623376623,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.6741699493528419,0.5702937650318828,0.5511609070174363,0.3580034423407917,0.9749658625398272,0.4098925885099726,0.4738979211467784,0.1175560711523588,0.4245810055865922,0.1841308298001211,358,0.8337552742616033,0.5849615156897573,0.6875434933890049,1689,0.5131578947368421,0.2748898678414097,0.3580034423407917,1135,0.9541202672605792,0.996742671009772,0.9749658625398272,2149,0.4098925885099726,0.3580034423407917,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,2,0,0,False,0,,2025-04-01|2025-04-04|2025-04-09|2025-04-17|2025-04-28|2025-05-12|2025-05-27|2025-05-29|2025-06-05|2025-06-11|2025-06-12|2025-06-26,4710,12,0,0.0,0.0,0.0,0.8569002123142251,0.8019482715769307,0.7965504589362936,0.8735408560311284,0.9763560500695412,0.7366152618918779,0.8273466177742275,0.5978947368421053,0.6635514018691588,0.6290143964562569,428,0.9406657018813314,0.5666957279860506,0.7072905331882481,1147,0.7858809801633606,0.9832116788321168,0.8735408560311284,1370,0.9590163934426228,0.9943342776203966,0.9763560500695412,1765,0.7366152618918779,0.8735408560311284,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,2,0,0,False,0,,2025-04-01|2025-04-04|2025-04-09|2025-04-17|2025-04-28|2025-05-12|2025-05-27|2025-05-29|2025-06-05|2025-06-11|2025-06-12|2025-06-26,4710,12,0,0.0,0.0,0.0,0.7687898089171975,0.7070297885429264,0.694159180359782,0.733561383504371,0.9796373779637378,0.5989997811584633,0.7099200616176176,0.2596685082872928,0.5490654205607477,0.3525881470367591,428,0.9185082872928176,0.5797733217088056,0.7108498129342598,1147,0.7652656621728786,0.7043795620437956,0.733561383504371,1370,0.9648351648351648,0.9949008498583568,0.9796373779637378,1765,0.5989997811584633,0.733561383504371,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,3,0,0,False,0,,2025-04-01|2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-21|2025-05-27|2025-05-29|2025-05-30|2025-06-03|2025-06-12|2025-06-26,2941,12,0,0.0,0.0,0.0,0.8449506970418225,0.7998877994182181,0.7888242410804137,0.7950138504155124,0.9727595736281088,0.7275124635645153,0.7913000848144531,0.4523809523809524,0.7192429022082019,0.5554202192448234,317,0.9204081632653062,0.7592592592592593,0.8321033210332104,594,0.8683812405446294,0.7330779054916986,0.7950138504155124,783,0.95800933125972,0.9879711307137128,0.9727595736281088,1247,0.7275124635645153,0.7950138504155124,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,3,0,0,False,0,,2025-04-01|2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-21|2025-05-27|2025-05-29|2025-05-30|2025-06-03|2025-06-12|2025-06-26,2941,12,0,0.0,0.0,0.0,0.8697721863311799,0.8134805746028517,0.807960400542474,0.8947368421052632,0.9782522736259393,0.7511964428479856,0.8426709771675897,0.4940898345153664,0.6593059936908517,0.5648648648648649,317,0.8361266294227188,0.7558922558922558,0.7939876215738285,594,0.9484978540772532,0.8467432950191571,0.8947368421052632,783,0.9648985959438378,0.991980753809142,0.9782522736259393,1247,0.7511964428479856,0.8947368421052632,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,4,0,0,False,0,,2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-17|2025-05-16|2025-05-28|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,5358,12,0,0.0,0.0,0.0,0.7829413960432997,0.7273281266901722,0.7071427439068834,0.7531929582326544,0.9679516953088714,0.6202064267728874,0.7255628296371919,0.3776595744680851,0.605543710021322,0.4651924651924652,469,0.8288288288288288,0.5242165242165242,0.6422338568935427,1404,0.7244355909694555,0.7843278217109992,0.7531929582326544,1391,0.9421338155515372,0.9952244508118434,0.9679516953088714,2094,0.6202064267728874,0.7531929582326544,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,4,0,0,False,0,,2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-17|2025-05-16|2025-05-28|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,5358,12,0,0.0,0.0,0.0,0.7202314296379246,0.6332761648200694,0.6288588996523734,0.6044088176352705,0.9759402008876432,0.5131651325739502,0.6190788668455323,0.1774042950513538,0.4051172707889126,0.2467532467532467,469,0.8293172690763052,0.5883190883190883,0.6883333333333334,1404,0.6829710144927537,0.5420560747663551,0.6044088176352705,1391,0.9551897576588936,0.9976122254059216,0.9759402008876432,2094,0.5131651325739502,0.6044088176352705,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,5,0,0,False,0,,2025-04-03|2025-04-04|2025-04-11|2025-04-30|2025-05-12|2025-05-27|2025-05-29|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,4946,12,0,0.0,0.0,0.0,0.8105539830165791,0.7504132400083945,0.7024645620956027,0.8544453186467349,0.964335992491788,0.6151740852968742,0.7632568647160556,0.2703777335984095,0.5738396624472574,0.3675675675675676,237,0.8551401869158879,0.4906166219839142,0.6235093696763203,1492,0.7824207492795389,0.9410745233968804,0.8544453186467349,1154,0.9345156889495224,0.996122152205526,0.964335992491788,2063,0.6151740852968742,0.8544453186467349,NO_POOL_CONTROL,54,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,5,0,0,False,0,,2025-04-03|2025-04-04|2025-04-11|2025-04-30|2025-05-12|2025-05-27|2025-05-29|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,4946,12,0,0.0,0.0,0.0,0.713303679741205,0.6094906527498405,0.5955425799721732,0.6140440799589953,0.9730241362991008,0.4697153945298639,0.602943179966902,0.0869963369963369,0.4008438818565401,0.1429646350639578,237,0.8702460850111857,0.5214477211796247,0.6521374685666387,1492,0.7515683814303639,0.5190641247833622,0.6140440799589953,1154,0.9505316689782708,0.9966068831798351,0.9730241362991008,2063,0.4697153945298639,0.6140440799589953,NO_POOL_CONTROL,54,1000,1000,254.0,12.0,,,,,,,,,,,,,,
