direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_partitions,delta_accuracy_median,delta_accuracy_q1,delta_accuracy_q3,delta_balanced_accuracy_median,delta_balanced_accuracy_q1,delta_balanced_accuracy_q3,delta_macro_f1_median,delta_macro_f1_q1,delta_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_objective_score_median,delta_objective_score_q1,delta_objective_score_q3
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,0,5,-0.0339678984695781,-0.062208067940552,-0.028305701577032,-0.0677840889461202,-0.0894152246132463,-0.0407135104202672,-0.0536128117093672,-0.0957860522711833,-0.0384999019857703,-0.0667139785448527,-0.1193270725278407,-0.0459201670881472,-0.0667139785448527,-0.1193270725278407,-0.0459201670881472,-0.0392341481640045,-0.0432569443592041,-0.0182281361297981,-0.0392341481640045,-0.0432569443592041,-0.0182281361297981,-0.0162391066786391,-0.0180557408754956,-0.0143093112029111,-0.0162391066786391,-0.0180557408754956,-0.0143093112029111,-0.0478613462912222,-0.0747744091063915,-0.0441758009105804
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,0,5,-0.0818843509906995,-0.1171974522292994,-0.0754012691302725,-0.050628019344502,-0.0668488042643803,-0.0015307221493789,-0.0956049019094951,-0.1131621393939198,-0.0829998096498423,-0.1205700953845647,-0.1419351788795095,-0.1049981911283485,-0.1205700953845647,-0.1419351788795095,-0.1049981911283485,-0.300484757925097,-0.3012548523968583,-0.261022523400744,-0.300484757925097,-0.3012548523968583,-0.261022523400744,-0.0198056716841915,-0.0207093214842859,-0.0170046652143235,-0.0198056716841915,-0.0207093214842859,-0.0170046652143235,-0.1775568443157359,-0.1929026985582993,-0.1723062929966494
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.0378083299636069,-0.0481128867732063,-0.0335013064576334,-0.0403485047475647,-0.0553232657450196,-0.0240470862839579,-0.0439010482061922,-0.0693751128216667,-0.0366912318106792,-0.0566236971390524,-0.0858281726306735,-0.0450282336179509,-0.0566236971390524,-0.0858281726306735,-0.0450282336179509,-1.2883803127031124e-05,-0.0014199719534116,0.0,-1.2883803127031124e-05,-0.0014199719534116,0.0,-0.0135349662694844,-0.0160271523622805,-0.0100464349257918,-0.0135349662694844,-0.0160271523622805,-0.0100464349257918,-0.0269086177050799,-0.0398699813553288,-0.0165429814285572
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.0332213512504666,-0.0351921115266915,-0.0329087048832271,-0.0393387067448788,-0.0437076473483973,-0.0337340602544293,-0.0316020069306635,-0.033185498220213,-0.0313288005824902,-0.038327217313674,-0.0421945787661714,-0.0356453685980785,-0.038327217313674,-0.0421945787661714,-0.0356453685980785,0.0,-0.0125928990949211,0.0014503263234227,0.0,-0.0125928990949211,0.0014503263234227,-0.0077791383099653,-0.015501492188958,-0.0051889395612962,-0.0077791383099653,-0.015501492188958,-0.0051889395612962,-0.018217149820125,-0.0255361844865307,-0.0080482085223611
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.0290133441164577,-0.0317282568122433,-0.0151003564059276,-0.0360022603255031,-0.037172384519072,-0.0187148698046751,-0.0308670959125025,-0.0405820313672573,-0.0275289754537563,-0.0402138047136914,-0.0536559663346969,-0.0372276454946509,-0.0402138047136914,-0.0536559663346969,-0.0372276454946509,-0.0007309328694804,-0.0025205599550206,-8.047947926766261e-05,-0.0007309328694804,-0.0025205599550206,-8.047947926766261e-05,-0.0033719904297142,-0.007314547169477,-0.002303812440477,-0.0033719904297142,-0.007314547169477,-0.002303812440477,-0.0214362607132534,-0.0257786047559571,-0.019331192416036
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.0176910634856449,-0.0355543113101903,-0.0170010200612036,-0.0163633610105457,-0.0352505438477689,-0.0133524289998769,-0.0222848403664021,-0.0407933384574842,-0.0096576615942218,-0.0227298504850473,-0.0513118779662031,-0.0046871916518984,-0.0227298504850473,-0.0513118779662031,-0.0046871916518984,0.0,0.0,0.0,0.0,0.0,0.0,-0.0176613446198903,-0.0240969817755018,-0.0121316074547082,-0.0176613446198903,-0.0240969817755018,-0.0121316074547082,-0.0080230830775139,-0.0139076660891895,-0.0054491738131824
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.05515117581187,-0.0594479830148619,-0.0453927235634137,-0.0598372865315103,-0.0605809044106094,-0.0580971597457008,-0.0753205351594615,-0.0772702456137806,-0.0657175830508905,-0.0920900368580127,-0.0957690724307033,-0.0785902087479881,-0.0920900368580127,-0.0957690724307033,-0.0785902087479881,-0.116793558717786,-0.119956851282888,-0.1166038946828539,-0.116793558717786,-0.119956851282888,-0.1166038946828539,-0.0145399823350819,-0.0219916006835967,-0.0123995597237367,-0.0145399823350819,-0.0219916006835967,-0.0123995597237367,-0.0979488648447852,-0.0997859861737397,-0.0829552190416857
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,3,5,-0.0250093318402389,-0.0265871411241407,-0.0120990433314575,-0.0152982645502547,-0.0179824822592019,-0.0039152629988673,-0.0202415599708609,-0.0339581873641952,-0.0077848476560714,-0.0276251707553888,-0.0479358002516136,-0.0139121138405082,-0.0276251707553888,-0.0479358002516136,-0.0139121138405082,0.0091479207650667,0.0037790676720366,0.0189218597993709,0.0091479207650667,0.0037790676720366,0.0189218597993709,-0.0006211125199527,-0.0008746475675043,0.0019269732713316,-0.0006211125199527,-0.0008746475675043,0.0019269732713316,-0.0096411247203664,-0.0176863346679021,-0.0046714865241543
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0224897349757371,-0.0476458450572125,-0.0142539425798625,-0.0170566144750033,-0.0389443554561639,-0.0119834778691113,-0.0431429213623739,-0.0434752010843567,-0.0096983673187089,-0.0539728016878474,-0.0546995245822822,-0.0088644498952832,-0.0539728016878474,-0.0546995245822822,-0.0088644498952832,-0.0104437626664166,-0.0109705667046426,0.0032183830307256,-0.0104437626664166,-0.0109705667046426,0.0032183830307256,-0.0192187769030458,-0.0199129704470242,-0.0187735241217866,-0.0192187769030458,-0.0199129704470242,-0.0187735241217866,-0.0112471494022491,-0.0332117313817068,-0.0040910041764032
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0071281185518664,-0.060523631417885,0.0003184713375796,-0.0019066669619249,-0.0677640027129273,-0.0003849107181585,0.0024001738773364,-0.0890184902277826,0.0066457475273613,0.0035589438182938,-0.1170877293725972,0.015959872548809,0.0035589438182938,-0.1170877293725972,0.015959872548809,0.0157821385079274,-0.171955289641096,0.0167760635871949,0.0157821385079274,-0.171955289641096,0.0167760635871949,-0.0140859912661044,-0.014813369290611,-0.0090618145568924,-0.0140859912661044,-0.014813369290611,-0.0090618145568924,0.0045551328807111,-0.1137034119535517,0.0130544071946191
