vehicle,sensor_configuration,method,protocol,n_folds,n_features,rows,operating_days,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high
Bus A,A,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,99879,254,0.8719350414000941,0.8296018860342242,0.8195863025207223,0.7215995829765052,0.9984779640530922,0.759955748676599,0.7803916147030354,0.7588565022421525,0.6460202328688681,0.6979070007217238,20956,0.8569711538461539,0.8637770897832817,0.860360662331568,22287,0.6505538771399798,0.8100652064872095,0.7215995829765052,11962,0.9984109221128021,0.9985450149975377,0.9984779640530922,44674,0.8195863025207223,0.7989487625542782,0.838879949710514,0.7215995829765051,0.6751566994229967,0.7647373874583909,0.0,0.0,0.0,0.0,0.0,0.0
Bus A,A,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,99879,254,0.8310555772484707,0.7390922532578761,0.7448600045912543,0.4940151249561777,0.9983435184563383,0.6603654999695597,0.6445220527372237,0.591728280961183,0.7332506203473945,0.6549313783991134,20956,0.8527832721107658,0.8124915870238255,0.8321499965533881,22287,0.6161149281698938,0.4123056345092794,0.4940151249561777,11962,0.9983658667621776,0.998321171151005,0.9983435184563383,44674,0.7448600045912543,0.7210031612620402,0.7667214623431132,0.49401512495617766,0.42714907451480266,0.5547873058332297,-0.07472629792946794,-0.0963438653459348,-0.05503848398567723,-0.2275844580203274,-0.2865774609910312,-0.17305714771275085
Bus A,A,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,99879,254,0.8447421379869642,0.7746214062210575,0.7751625882084121,0.6119052698954555,0.9983332028234873,0.7007723833367203,0.7098596608832295,0.6569673928936979,0.6432048100782592,0.6500132616401032,20956,0.8243849805783341,0.8570467088437206,0.8403986184746024,22287,0.6249455242743833,0.5993980939642201,0.6119052698954555,11962,0.9978308996176122,0.9988360119980302,0.9983332028234873,44674,0.7751625882084121,0.75396051307582,0.7955856544806081,0.6119052698954556,0.5589836046222435,0.6645474304848527,-0.04442371431231018,-0.06283659973755856,-0.025012623391449676,-0.10969431308104949,-0.15378865887545387,-0.06537109924862831
Bus A,A,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,99879,254,0.8511799277125321,0.8049358161459688,0.7956756242900005,0.6989101841413002,0.9890398063474987,0.7312208969375011,0.7569694482305204,0.7271007234279354,0.623496850543997,0.6713250783537995,20956,0.8158833634321455,0.8311123076232781,0.8234274283174039,22287,0.6348306936100492,0.7773783648219361,0.6989101841413002,11962,0.9903272139683109,0.9877557415946636,0.9890398063474987,44674,0.7956756242900005,0.7742756107710338,0.8160421599887184,0.6989101841413002,0.6503536781246528,0.7435373268046812,-0.023910678230721794,-0.03535292606984713,-0.012667447291860139,-0.02268939883520482,-0.052206539668240806,0.0029012254240747336
Bus A,A,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,54,99879,254,0.8982869271818901,0.8670517562468709,0.8618257546284396,0.8180523692745827,0.9985452429444283,0.8162525918564434,0.8443164004868968,0.7916500399042299,0.7573487306737927,0.7741195980879915,20956,0.8656921596480777,0.8476690447345987,0.8565858082067558,22287,0.7763513513513514,0.8644875438889817,0.8180523692745827,11962,0.9983888292158969,0.9987017056901106,0.9985452429444283,44674,0.8618257546284395,0.8435458832639564,0.8782347918058537,0.8180523692745828,0.7818786463461452,0.8494563848532127,0.04223945210771718,0.02822630592882592,0.05678622563574921,0.09645278629807774,0.06494745419703456,0.12883220914305304
Bus A,M,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,99879,254,0.8026311837323161,0.7358003310665259,0.7305930056140716,0.578195829555757,0.982326309317534,0.6466819043795842,0.6696341351907458,0.6986178518674826,0.6319431189158237,0.6636099418721186,20956,0.7088110207100592,0.6879795396419437,0.6982399417108769,22287,0.5274293590627154,0.639775957197793,0.578195829555757,11962,0.9811527210200754,0.983502708510543,0.982326309317534,44674,0.7305930056140716,0.7058321874067686,0.7532590991958978,0.578195829555757,0.5207892311157309,0.628426816855399,0.0,0.0,0.0,0.0,0.0,0.0
Bus A,M,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,99879,254,0.7626728341292964,0.6766901641204095,0.67592447515795,0.4975337060177573,0.9782730554496738,0.5751416150607086,0.6045681675018728,0.6075751659508005,0.5940064897881275,0.6007142167744426,20956,0.6241944802453224,0.6301880019742451,0.6271769223899258,22287,0.4894064370046903,0.5059354622972747,0.4975337060177573,11962,0.9799209415146887,0.9766307024219905,0.9782730554496738,44674,0.6759244751579498,0.650706668298004,0.6999052447051842,0.49753370601775737,0.43283410805969186,0.5564239810020847,-0.054668530456121744,-0.07314994649376583,-0.03790844914963933,-0.08066212353799962,-0.11392041599156068,-0.050557302673385936
Bus A,M,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,99879,254,0.7503178846404149,0.6602819153841581,0.6585801074745161,0.47338845628963633,0.9793825947105075,0.551645945062519,0.5845034470005642,0.580922200789933,0.6035980148883374,0.5920430610812076,20956,0.6185008131683998,0.563108538609952,0.5895063178167128,22287,0.45529647930821493,0.49297776291590034,0.47338845628963633,11962,0.9773304801390932,0.9814433451224426,0.9793825947105075,44674,0.6585801074745161,0.628956232950616,0.685899879781162,0.47338845628963633,0.40361969050586555,0.5375813815966405,-0.07201289813955547,-0.09905258777892682,-0.04796210854808414,-0.10480737326612066,-0.16242296319269675,-0.05297527216598184
Bus A,M,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,99879,254,0.7650657295327347,0.6841183748186499,0.6811376102078949,0.5226395779195212,0.9782718205326258,0.5820928734329845,0.6177383972925454,0.612647599055366,0.5570719602977667,0.5835395266301767,20956,0.6338480489199771,0.6464755238479831,0.6400995157492558,22287,0.49397142006549566,0.5548403277043973,0.5226395779195212,11962,0.978458024497839,0.9780856874244527,0.9782718205326258,44674,0.6811376102078949,0.6572025039177565,0.7034536107312243,0.5226395779195213,0.46738419891982835,0.5737151142490402,-0.049455395406176716,-0.06630187313999421,-0.03361756142299938,-0.055556251636235676,-0.08748564858718978,-0.02507389633232189
Bus A,M,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,99879,254,0.8337688603209884,0.7795031199951031,0.7754823706591889,0.6660114788898498,0.9834193649303926,0.7061700392354543,0.7316940139514532,0.740104115509282,0.7191257873640008,0.7294641560578925,20956,0.7413378588601329,0.705613137703594,0.7230344827586207,22287,0.6285989907984565,0.7081591707072395,0.6660114788898498,11962,0.9817301686445972,0.9851143842055782,0.9834193649303926,44674,0.7754823706591889,0.7541219051851231,0.7962565242986842,0.6660114788898498,0.6209422716325457,0.7066768841496881,0.04488936504511731,0.02944782619773212,0.06162939812887659,0.0878156493340928,0.04891275763490162,0.13020479342844238
Bus A,G,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,99879,254,0.7846894742638593,0.7018677901399997,0.6972873854010568,0.497061667782489,0.9976156093629311,0.5971779774137653,0.6171970983536297,0.6431497251266574,0.5694311891582363,0.6040496076942546,20956,0.6990434142752023,0.6820119352088662,0.6904226567645523,22287,0.44773519163763065,0.5586022404280221,0.497061667782489,11962,0.9978054952191145,0.9974257957648744,0.9976156093629311,44674,0.6972873854010568,0.6761963580214743,0.716501122929869,0.49706166778248895,0.45375220505281133,0.5394675763627608,0.0,0.0,0.0,0.0,0.0,0.0
Bus A,G,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,99879,254,0.7129326485046906,0.5785208626220408,0.5708860823360817,0.211047080569751,0.9892086732359473,0.4314452187027931,0.42695048162954946,0.4807653233999323,0.677467073869059,0.5624133423127203,20956,0.5662206300705932,0.4822542289226904,0.5208752332259081,22287,0.30177238805970147,0.16226383547901688,0.211047080569751,11962,0.9863358184043619,0.9920983122173972,0.9892086732359473,44674,0.5708860823360817,0.5495165252530114,0.5909645048812232,0.211047080569751,0.16328505240843816,0.2566878538077398,-0.1264013030649751,-0.1516006474540973,-0.10205720471220228,-0.286014587212738,-0.33925502985343864,-0.23384801449210374
Bus A,G,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,99879,254,0.742888895563632,0.6305606795262378,0.6314720551259069,0.3759090909090909,0.9944390363980173,0.5104830613685367,0.5292468694391805,0.563358395989975,0.5363141820958198,0.5495037402825992,20956,0.5710939980946332,0.6455332705164446,0.6060363529139199,22287,0.411934648336322,0.3456779802708577,0.3759090909090909,11962,0.9941609431978344,0.9947172852218292,0.9944390363980173,44674,0.6314720551259069,0.6082662403377478,0.6530238038642936,0.3759090909090909,0.32399243547483153,0.4231810396131882,-0.06581533027514996,-0.08755191314977605,-0.045811190909735136,-0.12115257687339803,-0.17121252394559902,-0.07511767052262104
Bus A,G,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,99879,254,0.7666176073048389,0.6753188577627953,0.6734537820104018,0.4638707623746618,0.9909511902492627,0.5676213125974482,0.5896205741561058,0.5988789808917198,0.5608417636953618,0.5792365885512925,20956,0.6555481727574751,0.664019383497106,0.6597565868663903,22287,0.44259681093394077,0.4872930948002006,0.4638707623746618,11962,0.9927879754656361,0.9891211890585128,0.9909511902492627,44674,0.6734537820104018,0.6534634480239553,0.6925096061641914,0.46387076237466174,0.4184445993079331,0.5103850125293533,-0.02383360339065499,-0.040803480519217165,-0.006863003738146797,-0.03319090540782721,-0.060162583779826126,-0.006367861541474836
