sensor_configuration,calibration_strategy,labeled_target_days,n_runs,n_test_partitions,target_exposure_hours_p25,target_exposure_hours_p50,target_exposure_hours_p75,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_state_macro_f1_p25,stationary_state_macro_f1_p50,stationary_state_macro_f1_p75,charging_precision_p25,charging_precision_p50,charging_precision_p75,charging_recall_p25,charging_recall_p50,charging_recall_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75
A,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.7829413960432997,0.8105539830165791,0.8449506970418225,0.7273281266901722,0.7504132400083945,0.7998877994182181,0.7024645620956027,0.7071427439068834,0.7888242410804137,0.6151740852968742,0.6202064267728874,0.7275124635645153,0.7244355909694555,0.7824207492795389,0.7858809801633606,0.7330779054916986,0.7843278217109992,0.9410745233968804,0.7531929582326544,0.7950138504155124,0.8544453186467349,0.9666366095581606,0.9679516953088714,0.9727595736281088
A,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.7978613459248765,0.8321140498968298,0.8655520169851381,0.707367929034317,0.7524473475155049,0.8013541270156603,0.7010155483392977,0.7479879054471603,0.7988315820803432,0.6057455679489285,0.6687658351131446,0.7393918726298552,0.7050529708558295,0.7563152050706701,0.8230474966736951,0.6443586376442025,0.7950191570881227,0.8990626067375931,0.713381521933488,0.7714465903116496,0.823403988461056,0.978844987073038,0.9832478505971216,0.9862954047973816
A,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.7725356064582847,0.8357701462087725,0.8693215510128061,0.7120688319400797,0.7652102526324903,0.8141364946570471,0.6836864351323118,0.7533591745282882,0.8172740823018566,0.58313057124601,0.6754799036010597,0.762487171825282,0.6853066669871757,0.7638941540712648,0.8541820720984012,0.5160817068072929,0.7342672765428347,0.8616103522645578,0.5985381383870543,0.7575351348741112,0.8222096878384284,0.9812802940261964,0.984934000214136,0.9871456090371312
A,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.7874027200870575,0.8421088884030075,0.871713350556295,0.7407757757047015,0.7734009936153525,0.8167055659319098,0.7249818017100835,0.7680044040081434,0.8134098940428016,0.63745704749107,0.697346665003709,0.7557571110123307,0.7223406131372723,0.7787904671312743,0.8524898755473233,0.4879858477183646,0.7053178398635233,0.852090056594153,0.5888713656129951,0.7486480542757552,0.8163362430267307,0.9805293542085548,0.9855625599244084,0.9875811024082302
A,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.7887167377482154,0.875675149850817,0.9032172419629448,0.7270934866415728,0.8276763429079512,0.8657098862248952,0.7200705080397559,0.8207892580933582,0.8624346612448904,0.6318050161722647,0.7670764208675659,0.8233081916204956,0.6885631103070982,0.8234751191922796,0.884608450443787,0.4799832340315402,0.7548323552605327,0.9308985565914814,0.555902984388426,0.7968202625754461,0.8707376481903741,0.9843749756571248,0.986822084955107,0.988314610819946
A,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.8760216448279549,0.8927030575876946,0.9081855470330744,0.8511098210169178,0.8695792960170368,0.9011176445250904,0.8410749134517072,0.8602342591905885,0.8947179282923405,0.7918151381004228,0.8185702896962869,0.8640272893136498,0.8073005616218135,0.8587800681292364,0.9158615774469432,0.7267372187621314,0.8013530924209946,0.9649635036496348,0.8060786613000348,0.8299127661049858,0.8755726865420905,0.9865283312044806,0.9881257275902212,0.989451170258575
A,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.8954710877476749,0.898333900034002,0.9033221351250468,0.8857003703284776,0.8872331492958537,0.8981534494012406,0.8656770107006363,0.8810137364228887,0.8965578646723045,0.8245588458505567,0.8457960930082961,0.8657612791177739,0.8038884192730347,0.8426724137931034,0.9092159559834938,0.8378854625550661,0.8432782171099928,0.964963503649635,0.8372759856630825,0.8429752066115702,0.8584440227703984,0.9889476213358962,0.9890315052508752,0.9890590809628008
A+G,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.6257737760270118,0.6549085479656588,0.6763040841083704,0.5565165049356955,0.5619103080431723,0.5716160165805418,0.5428337609608325,0.5556424102446507,0.561049751822809,0.3929924247474747,0.4105044399910142,0.4169573430722931,0.5863570391872278,0.6372155287817939,0.7142857142857143,0.2948905109489051,0.3084922010398613,0.3320561941251596,0.3924235065565808,0.4405940594059406,0.4452759588400374,0.9883953581432572,0.9910563210055596,0.9923577696009056
A+G,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.7716933302998743,0.8235073432862171,0.8461893631870991,0.675262975338373,0.7207947055744519,0.7645233533313835,0.6622511989689625,0.707247481165713,0.7609053562334949,0.5521575540672425,0.6123025072079153,0.6843051469140002,0.7147999847510611,0.7580032881183723,0.8588153529634839,0.5660160008101676,0.7573687994248741,0.8683313514402459,0.6559183174370261,0.7401956183117783,0.7933035129065049,0.9893160305443623,0.9913676502792226,0.9928730290845864
A+G,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.7328434386914279,0.8096631411919804,0.8554628139684135,0.6644710563875348,0.7462913840214774,0.7776226489179672,0.6337322706038606,0.7221128719958954,0.7760887527959106,0.514203426014103,0.6327798709330871,0.7038876144200735,0.685485448286653,0.7956404320987653,0.8679637100767925,0.3615697625639735,0.5657773383519495,0.8596715328467154,0.4783849179729903,0.6689420161085835,0.8066108159357742,0.990244987785586,0.9917566739372744,0.9932155375234072
A+G,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.7733867990061021,0.8319778575791689,0.8699575371549895,0.7165262013499957,0.7676518082387425,0.8117724749874303,0.6875492648679282,0.750652303940639,0.788581895940393,0.5862008267255174,0.6711542574923308,0.7213218676795304,0.7214084889534976,0.819167189010592,0.8628343077125402,0.4483080343428649,0.6590121317157712,0.8532374440485498,0.5985484169455454,0.7306169713438735,0.8197425694200493,0.9903034908078188,0.9912854526280734,0.9922707059238424
