family,orientation,sensor_set,display_model,n_physical_reference_sessions,n_sessions_with_evaluable_support,n_session_detected,session_recall,session_recall_nN,session_recall_ci95_low,session_recall_ci95_high,time_precision_predicted_charging,false_positive_events_per_day,support_daily_charge_time_mae_min,support_daily_charge_time_median_abs_error_min,support_mean_under_detection_pct,e2e_daily_charge_time_mae_min,e2e_daily_charge_time_median_abs_error_min,e2e_mean_under_detection_pct,support_daily_reference_minutes_mean,support_daily_predicted_minutes_mean,e2e_daily_reference_minutes_mean,e2e_daily_predicted_minutes_mean,session_coverage_median,session_coverage_q25,session_coverage_q75,condition
in_domain_B_OOF,RECORDED,ACC,A,23,20,14,0.7,0.70 (14/20),0.4810271816464765,0.8545227551323956,0.8881714705018671,0.4666666666666667,35.25632055555556,8.658550000000005,15.432540416182079,102.11689388888888,23.021875,48.41112772864145,118.28829111111108,100.03340277777778,193.905,100.03340277777778,0.943391555119478,0.1462022054646574,1.0,In-domain B OOF
source_only_A_to_B,RECORDED,ACC,A,23,20,9,0.45,0.45 (9/20),0.2581978582556243,0.6579146575496577,0.7196753989278742,2.1333333333333333,58.463411111111114,12.521608333333319,10.578900915354993,117.43823333333332,59.28009166666663,45.4502514117738,118.28829111111108,105.77469,193.905,105.77469,0.06478570498069341,0.0,1.0,Source RECORDED
source_only_A_to_B,YAW90_LEFT,ACC,A,23,20,11,0.55,0.55 (11/20),0.34208534245034233,0.7418021417443759,0.6548145830447952,2.8666666666666667,64.01578555555555,36.43824166666668,-18.865024886186262,108.64627111111112,69.97558333333335,27.488508977764024,118.28829111111108,140.60340666666667,193.905,140.60340666666667,0.9482706536612053,0.05924899820328236,1.0,Source YAW90
in_domain_B_OOF,RECORDED,MAG,M,23,20,4,0.2,0.20 (4/20),0.08065766257979806,0.41601743225189364,0.8714484564855149,0.4666666666666667,71.09274722222223,6.423091666666664,55.64547141897075,144.40737166666668,38.01509166666666,72.94230995132212,118.28829111111108,52.46621388888889,193.905,52.46621388888889,0.0,0.0,0.4147163279757265,In-domain B OOF
source_only_A_to_B,RECORDED,MAG,M,23,20,0,0.0,0.00 (0/20),0.0,0.16112515805281938,0.058017073247313956,0.7666666666666667,129.22212277777777,53.9784,87.1211555624807,204.83883166666664,56.943691666666666,92.14349036899512,118.28829111111108,15.234165,193.905,15.234165,0.0,0.0,0.0,Source RECORDED
source_only_A_to_B,YAW90_LEFT,MAG,M,23,20,1,0.05,0.05 (1/20),0.008881448800795402,0.23613119344674205,0.5306184378853565,1.1333333333333333,110.17456166666668,29.186841666666666,81.88405977479017,185.51073166666666,29.186841666666666,88.94869337504906,118.28829111111108,21.42903611111111,193.905,21.42903611111111,0.0,0.0,0.0,Source YAW90
in_domain_B_OOF,RECORDED,GYR,G,23,20,5,0.25,0.25 (5/20),0.11186170140766569,0.468700877618744,0.7642808616590573,1.2666666666666666,79.96815722222222,20.41854166666667,55.232015450162635,144.54081055555557,26.846475000000005,72.69008850267457,118.28829111111108,52.95528388888889,193.905,52.95528388888889,0.11142623377300256,0.0,0.4969651254740229,In-domain B OOF
source_only_A_to_B,RECORDED,GYR,G,23,20,7,0.35,0.35 (7/20),0.18119182410108206,0.5671457233147638,0.35993118770153754,3.966666666666667,109.52661222222221,51.455225,47.76677436149359,182.01947333333334,65.41559166666667,68.13605115907275,118.28829111111108,61.785790000000006,193.905,61.785790000000006,0.19649396497117533,0.0,0.5583738858226099,Source RECORDED
source_only_A_to_B,YAW90_LEFT,GYR,G,23,20,0,0.0,0.00 (0/20),0.0,0.16112515805281938,0.42847877484914726,1.5333333333333334,108.69705055555553,28.14378333333333,88.45642344125318,184.31375944444446,35.22634166666667,92.95804675256211,118.28829111111108,13.654699444444445,193.905,13.654699444444445,0.0,0.0,0.02195383019340677,Source YAW90
in_domain_B_OOF,RECORDED,MAG_GYR,M+G,23,20,5,0.25,0.25 (5/20),0.11186170140766569,0.468700877618744,0.9177790368645162,0.6333333333333333,69.57822999999999,10.257850000000007,52.65652291197941,139.41497555555554,20.104624999999984,71.11895515845389,118.28829111111108,56.00178999999999,193.905,56.00178999999999,0.0,0.0,0.5073707544057952,In-domain B OOF
